Intensity_MaxHR_Pct,Duration_Hours,Training_Effectiveness
0.75,1.302,0.6697
0.98,1.526,0.4264
0.893,2.593,0.4187
0.839,1.152,0.6958
0.662,2.635,0.6315
0.662,0.447,0.2505
0.623,2.375,0.5647
0.946,2.573,0.2745
0.84,0.709,0.6542
0.883,1.405,0.7601
0.608,0.663,0.2276
0.988,2.178,0.3458
0.933,1.699,0.5547
0.685,1.979,0.6674
0.673,0.75,0.3527
0.673,0.793,0.3853
0.722,0.316,0.321
0.81,1.102,0.7271
0.773,1.767,0.7855
0.716,2.602,0.608
0.845,2.067,0.7685
0.656,1.419,0.5781
0.717,2.869,0.4794
0.747,2.214,0.7615
0.782,2.804,0.49
0.914,1.677,0.652
0.68,0.925,0.3999
0.806,0.348,0.4868
0.837,2.233,0.6697
0.619,0.54,0.1209
0.843,1.048,0.7533
0.668,1.691,0.6617
0.626,1.78,0.5016
0.98,1.882,0.4801
0.986,0.666,0.5626
0.923,1.263,0.6666
0.722,1.928,0.6099
0.639,2.915,0.7143
0.874,2.237,0.6514
0.776,2.783,0.5036
0.649,2.334,0.4758
0.798,1.857,0.8297
0.614,0.738,0.1689
0.964,2.067,0.4221
0.704,1.945,0.7022
0.865,1.887,0.6667
0.725,1.571,0.7904
0.808,1.68,0.8779
0.819,1.136,0.81
0.674,1.654,0.6059
0.988,0.753,0.4924
0.91,2.454,0.4575
0.976,0.72,0.5544
0.958,0.438,0.512
0.839,1.421,0.8734
0.969,2.043,0.5
0.635,1.426,0.4675
0.678,0.975,0.5665
0.618,1.763,0.4984
0.73,1.172,0.6414
0.755,2.812,0.4956
0.709,2.783,0.6393
0.931,1.607,0.5445
0.743,1.118,0.7087
0.712,2.264,0.6215
0.817,0.303,0.4582
0.656,1.529,0.5934
0.921,1.142,0.6055
0.63,2.778,0.5683
0.995,0.234,0.6866
0.909,1.748,0.7048
0.679,2.274,0.6408
0.602,1.558,0.3973
0.926,0.439,0.5446
0.883,2.923,0.3193
0.892,1.65,0.7048
0.909,1.92,0.5375
0.63,0.863,0.3443
0.743,1.554,0.7803
0.646,1.402,0.405
0.945,0.41,0.5305
0.849,0.497,0.5311
0.732,2.545,0.5953
0.625,0.871,0.3967
0.724,0.746,0.4999
0.73,1.614,0.7084
0.892,2.352,0.5
0.855,0.373,0.5138
0.955,1.815,0.5007
0.789,0.534,0.5475
0.648,0.302,0.2476
0.885,0.348,0.5445
0.904,2.536,0.4757
0.825,0.53,0.5974
0.908,0.326,0.5215
0.798,1.426,0.9398
0.809,2.563,0.5752
0.771,0.935,0.6116
0.61,1.381,0.4887
0.643,0.312,0.2849
0.613,1.457,0.4259
0.855,1.817,0.729
0.726,1.799,0.7322
0.803,1.131,0.7938
0.963,1.083,0.6215
0.7,0.499,0.3753
0.764,1.227,0.7546
0.902,0.479,0.6426
0.692,2.346,0.5977
0.631,2.906,0.6505
0.716,2.916,0.5232
0.664,2.622,0.5977
0.972,1.882,0.4227
0.923,2.162,0.4713
0.853,0.999,0.6815
0.949,1.966,0.5315
0.921,1.476,0.5866
0.675,1.55,0.557
0.957,2.322,0.4479
0.816,0.989,0.7608
0.923,1.091,0.4982
0.958,2.789,0.1751
0.727,0.357,0.2665
0.644,1.56,0.4682
0.691,2.756,0.4081
0.771,1.909,0.7892
0.927,1.73,0.5185
0.944,0.899,0.5841
0.603,1.161,0.2559
0.804,2.586,0.5597
0.767,1.766,0.7935
0.689,1.641,0.7198
0.648,0.479,0.3051
0.735,0.245,0.3794
0.977,2.898,0.1245
0.729,1.256,0.7838
0.808,1.889,0.7266
0.881,0.423,0.4837
0.745,2.113,0.7189
0.989,2.811,0.2558
0.985,1.812,0.4068
0.701,0.553,0.3575
0.799,1.829,0.7482
0.72,2.346,0.6878
0.714,1.338,0.7131
0.615,2.664,0.6245
0.844,2.016,0.6902
0.801,2.718,0.4771
0.621,1.946,0.4566
0.711,0.568,0.3987
0.963,1.067,0.5036
0.696,0.765,0.3701
0.658,2.745,0.5541
0.796,2.329,0.638
0.994,2.094,0.3013
0.697,1.043,0.5531
0.869,0.715,0.6175
0.905,2.318,0.4553
0.695,1.528,0.6576
0.891,0.832,0.5761
0.747,1.927,0.771
0.853,0.313,0.5258
0.853,1.113,0.6554
0.814,1.512,0.8859
0.636,0.614,0.2051
0.934,2.957,0.211
0.728,0.785,0.5704
0.675,0.565,0.3608
0.616,0.77,0.2569
0.836,2.353,0.5877
0.871,1.391,0.7948
0.607,1.783,0.5127
0.805,0.259,0.4245
0.691,0.296,0.2286
0.858,1.448,0.6729
0.67,2.487,0.5914
0.876,2.679,0.3995
0.755,0.443,0.4921
0.975,1.707,0.4788
0.655,2.757,0.6434
0.736,1.286,0.6753
0.645,2.523,0.6312
0.97,0.574,0.5511
0.951,2.819,0.2488
0.703,2.304,0.5587
0.864,2.836,0.388
0.927,2.095,0.3859
0.822,1.218,0.7697
0.812,2.827,0.4865
0.697,0.972,0.4789
0.637,1.13,0.3485
0.959,2.162,0.4268
0.96,2.343,0.323
0.853,2.802,0.3817
0.736,0.773,0.525
0.74,2.434,0.762
0.89,2.268,0.5817
